Name,mffc_1,mffc_2,mffc_3,mffc_4,mffc_5,mffc_6,mffc_7,mffc_8,mffc_9,mffc_10,mffc_11,mffc_12,mffc_13,mffc_14,mffc_15,mffc_16,mffc_17,mffc_18,delta1_1,delta1_2,delta1_3,delta1_4,delta1_5,delta1_6,delta1_7,delta1_8,delta1_9,delta1_10,delta1_11,delta1_12,delta1_13,delta1_14,delta1_15,delta1_16,delta1_17,delta1_18,delta2_1,delta2_2,delta2_3,delta2_4,delta2_5,delta2_6,delta2_7,delta2_8,delta2_9,delta2_10,delta2_11,delta2_12,delta2_13,delta2_14,delta2_15,delta2_16,delta2_17,delta2_18
durao,-324.9914713835241,52.638753141829014,22.700507134654828,2.0093351561177686,2.4620703186124056,-3.5674325687981625,-24.80766125698589,-16.426049101636927,-25.545997629770437,-11.608868225350346,-16.80448824233939,-13.637629347673819,-11.775143558114511,-11.747955922416113,-9.590679462815148,-2.884025717277031,-13.461850462899998,-9.769513938850178,-0.25440973379662724,0.2860623179124933,0.08261724300823721,0.05407341387907364,-0.057392215202181365,0.0039633402261688554,-0.03332551641618018,-0.022180631398474978,-0.014586903291080455,-0.0653865465682456,-0.0372136065913656,-0.012503678830678003,0.034395997302121145,0.01795333354598687,0.02163107095672674,0.012692849342518115,-0.029584539488266576,-0.03170309550407761,0.049465969300650066,0.049810278182943785,0.01151867555762433,0.03399034079988151,0.04249613306724824,-0.010400868774582137,0.028771882131610513,0.015245258786150082,0.017097170982451025,0.006881067576470066,0.014184156529096171,0.009370422924577737,-0.005634476068568754,0.022437091026156618,0.03596264259865467,-0.0001752586244383187,0.04060470287322237,0.044848066385286565
durao,-330.0945463950665,67.23436415680123,29.18188881582025,0.9663125620855071,1.2838104600203377,-1.6246217650166082,-26.843750244851826,-21.843359501957757,-29.25205110372248,-12.639919424841422,-16.184742445354676,-12.903864527459199,-12.439284258048064,-14.936562972078741,-13.028763853884557,-3.3790812325725255,-19.631047240334112,-7.267608300647073,-0.3423998407261469,0.5281273638494586,0.14330482363984637,0.023787740088479743,-0.05761571855515707,-0.03677859860880384,-0.10973010411907391,0.016069977739118144,-0.02280054917870002,-0.038291934833677384,-0.07081396589441072,-0.0012619281610905136,0.0070348164562914536,-0.025663177514812473,-0.015136309149239071,0.009752654309900927,-0.08765409807976897,-0.03773970571731636,-0.08664395874751361,0.08024246105995272,0.01676493537786256,0.029116373551207473,0.06173450026285208,0.012776071358041154,0.08243924163949447,-0.00015710313167381808,0.037396849573366496,-0.0038239289358366867,-0.0048346595700924835,0.021427126191373422,-0.0170313396517333,0.008073956748577027,0.023291476937089536,0.011152813088135928,0.016035384818040677,0.0355239139424414
durao,-343.06614877782783,54.448282631874505,31.540843255887395,1.9034941317320984,-0.9613082789209108,-4.74811695928338,-17.023897836139135,-24.106151373609066,-24.40401434834172,-6.977210523542396,-21.031696126632546,-6.665121683915902,-16.136693917051065,-11.138278937341504,-12.128822840737088,-2.709692188438906,-17.16089023618008,-10.740249644807598,-0.2901298270702192,0.4792838931919599,0.05404855702178048,-0.03014544673257943,-0.10577175237897961,-0.03711974319316424,-0.07331102019181214,-0.12519521433437794,-0.14790382946426264,-0.0009589565091538486,0.01015314041887626,0.005891067388225811,0.015018997272799171,-0.03332926100315464,-0.0657990379177482,0.023973912060131233,-0.025292362645307608,-0.04983316095935798,-0.11720099308247502,0.09439084804004644,0.03213601595786121,0.023109777749045487,0.05849071793637111,-0.04073357694906227,0.004927706519536128,0.0052948445951197555,-0.0021628555508631,0.02450032207798571,-0.0020099920923114384,0.035256932921929815,-0.027161070662808557,-0.0008806627836914316,0.03629557081614932,-0.013218998186430062,0.016686333995448006,-0.0196026865296515
durao,-342.1738203031227,77.38245444629796,28.51108579103054,-2.197667471286282,-0.018030079889401328,-2.5819682238281634,-24.016681622946873,-20.00307427600028,-18.94171277208779,-18.256346140060963,-18.508533428316355,-10.166534180466615,-11.47786417886754,-12.770057182471621,-12.540523061051688,-0.09197702951737524,-17.939871198448845,-9.387414157068582,-0.4362773979100291,0.23260103346144653,0.08167373744594306,-0.04976324679628315,-0.08772203820711821,0.017118167084659283,-0.04636193255190644,0.0237176937543234,0.008299286397003683,-0.07684335770478387,-0.023177344158917784,-0.0239696472634983,-0.018608337379191296,-0.013491181980397622,-0.02596009438325225,0.001474080092023329,-0.01587405664054048,-0.04340163600600562,-0.08850042484491939,-0.12211744649382728,-0.027265909226732922,0.01934167440016905,0.02152269189601364,0.0386679925761052,0.0721608598574669,0.037911262532573556,0.03617979779841861,0.01683203339655446,0.04531930944400129,0.017035419096909244,-0.004816239114559006,0.01962512093536563,0.012805845544080846,-0.015486792474796686,0.025532648505188438,0.00970349566452465
durao,-343.27442211401274,62.92488526040375,27.748164827828354,1.0397018981876647,-1.445659122893602,-2.055950262492504,-17.515037292731886,-24.659719877014602,-22.7986345265774,-12.513902326222816,-20.338717534779427,-8.426498506640687,-16.079459952444328,-10.991238354290038,-13.900439739102895,-0.683428055486596,-18.109750431429312,-9.121594574600804,-0.2754136664684824,0.14505124788293977,0.08104034734143954,-0.006749576194276665,-0.052251886479330045,0.0697798276338959,0.05585903264747932,-0.022277215122888855,-0.02694434966250468,-0.015659198542468472,-0.0010251621499303774,-0.024003756725194038,0.0023310425825851648,-0.039503165461809236,-0.07966306951528196,-0.033602690743262324,-0.03324588595366533,0.006391315600820298,-0.04361422089893654,-0.0380686642341055,-0.03269030322331858,0.010058551974194774,0.04980414225383722,-0.0026800121451145296,0.0834940634805127,0.05394360144329572,0.030765699144305984,0.050271825997664235,-0.003313397025622035,-2.5020464706459834e-05,0.016091939311947162,0.01859914241623119,0.027226318585616447,-0.038650114664097554,0.011968842480931736,-0.024755580266451024
durao,-305.4110525841307,62.00378512966742,27.420453056833715,3.228348175953207,-6.182270889880652,1.627615623633222,-18.38722949508881,-23.54960202807231,-20.53702666698883,-13.091539027676916,-23.837546402480772,-13.633253815337243,-12.921987011046605,-9.579545668476579,-12.688640699653556,-0.46511168939439224,-14.422066643785394,-11.749984189567352,-0.1350696596279273,0.25982508566616136,0.01154964142666439,-0.028480317416184713,-0.05143439250962846,0.0023787804392006243,0.03500335583421057,-0.044656779373685306,-0.006682589690360663,-0.0310643092719458,-0.03972730433367015,0.0083019966412743,0.026597177515513413,-0.021499400287920824,0.012397829832693623,0.024378919147170462,-0.01669662495467536,-0.007423051697804233,-0.03458758026795374,-0.05401183363380851,-0.038896522693734954,0.000585084457855814,0.04658275983938232,0.02213060753532896,0.06952332289326228,0.060633305383760126,0.03598559632648508,0.025366424503108744,0.05262925668253286,0.011939375871105815,-0.014979323121117633,0.021037378706054894,0.03336584455077764,0.0075884050254879125,0.03288187359098299,0.017281664263503055
durao,-318.6355403192379,63.065838144219114,26.02867614671214,1.2553775568929089,-1.4519141693510063,-5.796191822240104,-16.68958368356443,-19.852343712323208,-19.15275255029412,-10.409822110184273,-19.46028896263341,-9.98293861367362,-14.839908749123788,-16.46613182406431,-14.76144717192189,-4.0697771711112285,-15.683290248471733,-11.660626880820532,-0.09158000329832758,0.43026140493840515,0.029624397062564832,-0.014905587815085983,-0.056757800882305844,-0.05660842034026875,-0.1343293098841439,-0.01776751143113334,-0.017124734597072793,-0.0055678034099771,-0.0429950703277959,-0.01912781872975585,-0.002935868791324483,-0.04425403507666085,-0.03921679691276934,-0.034670856846866126,-0.07408615804495128,-0.035182780880370294,0.04275818177324051,0.061411570998245506,-0.005952351975661167,0.022641442410662665,0.056771109024499826,-0.02391486560974029,0.028846775510009096,0.025050674407796958,0.0011986448097590391,0.03143021663425307,0.013517520211335222,0.004545942967800266,0.005069505934679938,0.003222219886189623,0.028532438768862835,0.003308891569849348,0.0036892115227393544,-0.009153282539395194
durao,-307.33998306009397,50.78893448131992,26.640605116588087,4.0134292025532,-2.3660300033994734,-7.617581199575398,-12.68893864608309,-16.51350484772209,-23.536919693074513,-8.309423216468707,-23.501364269656573,-9.189191500703911,-13.898197981275196,-16.575265467387666,-12.073284193962948,-8.03708604515712,-13.103267231446889,-12.178258058462491,-0.24084087967971665,0.37738349085209694,0.14167566829129538,0.03801864480619285,-0.07751892925237937,-0.021916769409497872,-0.059364922680179226,-0.014370945882229706,-0.04657928647107391,-0.05519673739228423,-0.05989705977115983,0.015219710589912698,0.017418324056462646,-0.022825949357574354,-0.04060531842547288,-0.024694803567013528,-0.036237994746283794,-0.044021553543526076,-0.11869477448587817,0.07153985448951944,0.02739915087097149,0.020668041681260366,0.06951864185895829,-0.017754531791994346,0.03798112437168575,0.0062015897270561535,0.013328834394739784,0.024125457289071856,0.0015282748972877155,0.013595665552914261,0.0007894296984300089,0.004895225999659431,0.01302413537061693,0.0029080361817686294,0.024563110713740635,-0.005300613160221698
durao,-345.6287107636791,60.42376013536619,32.10398469148602,0.7478695538750699,-2.2215332486387784,-5.675994787961193,-27.540262640980828,-12.300860716629906,-23.627307302080375,-17.538660451788875,-18.082058297780275,-11.519865095366942,-18.765891849580214,-13.152627339779684,-4.869923923725343,-2.9667084409654154,-17.67454802618872,-12.324742423486832,-0.4002629738922101,0.45127787468820213,0.096828475391408,0.0410613996927161,-0.05137405136936558,-0.09238054738873484,-0.06483029609809866,0.009909747255162913,-0.04958232963511225,-0.08256215204802439,-0.08846614109509954,-0.011542532332996349,0.009626419712948078,-0.028195536448466146,-0.004256092798169733,-0.0018330945771812786,-0.08106299976717944,-0.07143782166049979,-0.08090107192109164,0.13781981785186614,0.031815026509130685,0.04637107110219889,0.06345773238081087,-0.04184956460501529,0.03430670726665876,0.0028506029159294697,0.001623314361308164,-0.010059851461518898,-0.010431618050698727,0.026191972996000196,-0.04344503387441106,0.022125664092584495,0.01612077668265666,-0.013788555521970332,0.019928778634629125,0.009860963866010703
durao,-348.31366084279836,76.30863739128309,23.621682176761063,5.388739379569182,3.9201552873831584,-7.521677851100743,-24.892083558375596,-17.034823070979492,-25.62808959457262,-15.883368315598501,-20.72906882242447,-11.978523772774322,-11.320680464051836,-12.99489742600912,-9.154431703722004,0.2779736634487408,-19.73108235422503,-9.571027166321839,-0.40843149578984267,0.14673758744339324,0.11917402364435399,0.008223061680903487,-0.12288957566271544,-0.037858995799319464,-0.06547930992826972,0.023260210324080623,0.04667297059433891,-0.004978231791547209,0.02674228429627711,0.025719597327590688,0.02821076970602742,0.01873115348689577,0.01709665354896789,0.018926110858249412,-0.020056288565738205,-0.009647805616671742,0.0319149559902179,-0.004550229887488508,-0.010448050576362517,-0.06583869946848217,-0.0015133462170835007,-0.03868356993594333,0.015039669649519418,0.0027745635347834773,0.005178382403393006,0.0006197749494434836,0.026484856117582573,0.03935526904110332,0.04498104640629271,0.03730028422962701,0.027895039140674184,0.01201556380076122,0.03148210304562168,0.005435991625293376
